"
",O
1,O
.,O
Lancet,O
.,O
2020,O
Mar,O
11,O
.,O
pii,O
:,O
S01406736(20)305663,O
.,O
doi,O
:,O
"
",O
10.1016,O
S01406736(20)305663,O
.,O
[,O
Epub,O
ahead,O
of,O
print,O
],O
"

",O
Clinical,O
course,O
and,O
risk,O
factors,O
for,O
mortality,O
of,O
adult,O
inpatients,O
with,O
COVID19,B-Disease_COVID-19
"
",O
in,O
Wuhan,O
",",O
China,O
:,O
a,O
retrospective,O
cohort,O
study,O
.,O
"

",O
Zhou,O
F(1,O
),O
",",O
Yu,O
T(2,O
),O
",",O
Du,O
R(3,O
),O
",",O
Fan,O
G(4,O
),O
",",O
Liu,O
Y(2,O
),O
",",O
Liu,O
Z(1,O
),O
",",O
Xiang,O
J(5,O
),O
",",O
Wang,O
Y(6,O
),O
",",O
"
",O
Song,O
B(2,O
),O
",",O
Gu,O
X(4,O
),O
",",O
Guan,O
L(3,O
),O
",",O
Wei,O
Y(2,O
),O
",",O
Li,O
H(1,O
),O
",",O
Wu,O
X(7,O
),O
",",O
Xu,O
J(8,O
),O
",",O
Tu,O
S(2,O
),O
",",O
"
",O
Zhang,O
Y(1,O
),O
",",O
Chen,O
H(9,O
),O
",",O
Cao,O
B(10,O
),O
.,O
"

",O
Author,O
information,O
:,O
"
",O
(1)Department,O
of,O
Pulmonary,O
and,O
Critical,O
Care,O
Medicine,O
",",O
Center,O
of,O
Respiratory,O
"
",O
Medicine,O
",",O
National,O
Clinical,O
Research,O
Center,O
for,O
Respiratory,O
Diseases,O
",",O
Institute,O
"
",O
of,O
Respiratory,O
Medicine,O
",",O
Chinese,O
Academy,O
of,O
Medical,O
Sciences,O
",",O
Peking,O
Union,O
"
",O
Medical,O
College,O
",",O
Beijing,O
",",O
China,O
.,O
"
",O
(2)Department,O
of,O
Tuberculosis,O
and,O
Respiratory,O
Disease,O
",",O
Jinyintan,O
Hospital,O
",",O
Wuhan,O
",",O
"
",O
China,O
.,O
"
",O
(3)Department,O
of,O
Pulmonary,O
and,O
Critical,O
Care,O
Medicine,O
",",O
Wuhan,O
Pulmonary,O
Hospital,O
",",O
"
",O
Wuhan,O
",",O
China,O
.,O
"
",O
(4)Department,O
of,O
Pulmonary,O
and,O
Critical,O
Care,O
Medicine,O
",",O
Center,O
of,O
Respiratory,O
"
",O
Medicine,O
",",O
National,O
Clinical,O
Research,O
Center,O
for,O
Respiratory,O
Diseases,O
",",O
Institute,O
"
",O
of,O
Respiratory,O
Medicine,O
",",O
Chinese,O
Academy,O
of,O
Medical,O
Sciences,O
",",O
Peking,O
Union,O
"
",O
Medical,O
College,O
",",O
Beijing,O
",",O
China,O
;,O
Institute,O
of,O
Clinical,O
Medical,O
Sciences,O
",",O
"
",O
ChinaJapan,O
Friendship,O
Hospital,O
",",O
Beijing,O
",",O
China,O
.,O
"
",O
(5)Department,O
of,O
Clinical,O
Laboratory,O
",",O
Jinyintan,O
Hospital,O
",",O
Wuhan,O
",",O
China,O
.,O
"
",O
(6)Department,O
of,O
Pulmonary,O
and,O
Critical,O
Care,O
Medicine,O
",",O
Center,O
of,O
Respiratory,O
"
",O
Medicine,O
",",O
National,O
Clinical,O
Research,O
Center,O
for,O
Respiratory,O
Diseases,O
",",O
Institute,O
"
",O
of,O
Respiratory,O
Medicine,O
",",O
Chinese,O
Academy,O
of,O
Medical,O
Sciences,O
",",O
Peking,O
Union,O
"
",O
Medical,O
College,O
",",O
Beijing,O
",",O
China,O
;,O
Department,O
of,O
Respiratory,O
Medicine,O
",",O
Capital,O
"
",O
Medical,O
University,O
",",O
Beijing,O
",",O
China,O
.,O
"
",O
(7)GCP,O
Center,O
",",O
Jinyintan,O
Hospital,O
",",O
Wuhan,O
",",O
China,O
.,O
"
",O
(8)Tsinghua,O
University,O
School,O
of,O
Medicine,O
",",O
Beijing,O
",",O
China,O
.,O
"
",O
(9)Department,O
of,O
Tuberculosis,O
and,O
Respiratory,O
Disease,O
",",O
Jinyintan,O
Hospital,O
",",O
Wuhan,O
",",O
"
",O
China,O
.,O
Electronic,O
address,O
:,O
2716637947@qq.com,O
.,O
"
",O
(10)Department,O
of,O
Pulmonary,O
and,O
Critical,O
Care,O
Medicine,O
",",O
Center,O
of,O
Respiratory,O
"
",O
Medicine,O
",",O
National,O
Clinical,O
Research,O
Center,O
for,O
Respiratory,O
Diseases,O
",",O
Institute,O
"
",O
of,O
Respiratory,O
Medicine,O
",",O
Chinese,O
Academy,O
of,O
Medical,O
Sciences,O
",",O
Peking,O
Union,O
"
",O
Medical,O
College,O
",",O
Beijing,O
",",O
China,O
;,O
Department,O
of,O
Pulmonary,O
and,O
Critical,O
Care,O
"
",O
Medicine,O
",",O
ChinaJapan,O
Friendship,O
Hospital,O
",",O
Beijing,O
",",O
China,O
;,O
Department,O
of,O
"
",O
Respiratory,O
Medicine,O
",",O
Capital,O
Medical,O
University,O
",",O
Beijing,O
",",O
China,O
;,O
Tsinghua,O
"
",O
University,O
School,O
of,O
Medicine,O
",",O
Beijing,O
",",O
China,O
.,O
Electronic,O
address,O
:,O
"
",O
caobin_ben@163.com,O
.,O
"

",O
Erratum,O
in,O
"
    ",O
Lancet,O
.,O
2020,O
Mar,O
12,O
;,O
:,O
.,O
"

",O
BACKGROUND,O
:,O
Since,O
December,O
",",O
2019,O
",",O
Wuhan,O
",",O
China,O
",",O
has,O
experienced,O
an,O
outbreak,O
of,O
"
",O
coronavirus,B-Disease_COVID-19
disease,I-Disease_COVID-19
2019,I-Disease_COVID-19
(,O
COVID19,B-Disease_COVID-19
),O
",",O
caused,O
